Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter,6.57E-05,0.000132135,0.000131397,0.000265358,0.000393005,6.60E-05,0.000131173,0.000196734,0,0.000131019,0,6.51E-05,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,0.00013138,0.000198203,0,0.000862412,0.000196502,0.000329859,0,0.00032789,0,0.000327547,0,0,0.000327976,0.000261969,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter,6.57E-05,0.000132135,0.000197096,0,0.000327504,0,0,0.000196734,0,0,0,0.000130259,0,0.000130984,6.54E-05
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__Unclassified_JG30-KF-CM45;g__Unclassified_JG30-KF-CM45,0.00019707,0.000132135,0,0.000265358,6.55E-05,0,0,0.000918093,0,6.55E-05,0,0,0,0,0.000653937
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas,0,0,0.000131397,0.000265358,6.55E-05,0,0,0.003016591,0,6.55E-05,0,0,6.56E-05,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16;g__Unclassified_RF16,0.00026276,0.000528541,0.000197096,0.000928751,0.000327504,0,0,0,0,0,0,6.51E-05,0.000393572,6.55E-05,0.000196181
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__Unclassified_Gemm-1;f__Unclassified_Gemm-1;g__Unclassified_Gemm-1,0.00019707,0.000198203,6.57E-05,0,0.000393005,0,0,0,0,0,0,0.000521037,0,0,0.000326968
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Unclassified_Micrococcaceae,0.00013138,0.000132135,0,0.000199018,0,0,0,0.00032789,0,0.000589584,0,0.000195389,0.000131191,0,6.54E-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Unclassified_Sphingobacteriaceae,0,0,0,0.000132679,6.55E-05,0,0,0.002688701,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.00026276,0.000198203,0.000262795,0.000331697,0.000131002,0,0,0.000131156,0,0,0,0.000325648,0,0,0
