#Taxonomy,S_JC2,S_MC1,F_LW2,F_JC4,F_MC1,F_JC5,F_MC3,S_MC2,S_MC4,S_MC3,S_LW3,S_JC1,F_MC4,S_JC3,N_F_LW1,F_LW4,S_MC5,S_LW4,F_MC2,F_LW3,F_JC3,S_JC4,S_LW2,F_LW1,F_JC1,S_LW5,F_JC2,F_LW5,S_LW1,F_MC5,S_JC5,Total
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Dadabacteria,274,138,38,122,172,272,94,288,82,116,374,254,72,176,20,100,184,272,136,216,60,166,250,132,134,110,150,120,154,250,232,5158
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Moranbacteria,1068,1500,1298,1348,1458,814,1134,710,874,1068,1676,1840,1420,1190,176,1514,1346,3020,1260,1126,1044,1290,1414,1204,1586,3920,888,1584,9924,772,1886,51352
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Collierbacteria,144,112,666,262,282,208,264,200,124,166,236,172,224,192,62,128,160,268,248,182,298,106,196,266,284,82,158,52,2062,220,156,8180
d__Eukaryota;k__Metazoa;p__Nematoda,2988,2376,52884,2322,2674,2980,2634,2506,2448,2418,11772,2760,2022,2638,4564,7136,2778,12356,2846,37274,2450,3232,34316,25442,2692,21968,2850,54980,12502,2726,2790,328324
d__Eukaryota;k__Viridiplantae;p__Streptophyta,2400,2216,340896,3582,4532,9560,4070,2158,2068,2184,70190,2410,3444,2402,20774,49480,3324,73670,3794,223100,6096,2378,165960,120436,4488,124658,5748,342756,79530,6680,4280,1689264
d__Bacteria;k__unclassified_d__Bacteria;p__Chloroflexi,39038,71126,31790,24494,28906,32830,22802,50078,36608,24412,132628,73786,20564,28014,13456,41696,67346,95246,27534,28696,21732,36164,206212,70940,25634,179288,22254,41522,159676,29820,61050,1745342
d__Bacteria;k__unclassified_d__Bacteria;p__Nitrospinae,388,452,432,610,454,690,254,248,220,242,426,694,472,444,454,526,368,534,310,452,202,432,456,1874,358,662,416,550,656,496,642,15414
d__Eukaryota;k__Metazoa;p__Hemichordata,126,52,12412,46,80,86,54,92,210,164,1216,42,38,94,584,788,80,1042,62,7750,74,172,4418,4422,78,2330,84,9816,1186,76,78,47752
d__Bacteria;k__unclassified_d__Bacteria;p__Tenericutes,59322,46538,46438,169864,208202,142370,81342,67064,62478,52328,40112,46590,193038,51670,10458,32616,39922,36264,139196,24340,73808,57170,57516,53830,176002,31282,118272,42062,43218,142100,51836,2397248
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_WWE3,164,842,1032,230,224,144,122,138,236,102,538,758,218,138,86,684,2868,402,112,566,142,264,568,574,196,496,142,202,224,110,3938,16460
d__Bacteria;k__unclassified_d__Bacteria;p__Acidobacteria,12514,12214,8426,11828,11240,14604,9160,9994,9786,8652,8934,17862,9224,10714,3408,12222,11422,7120,10720,10602,9324,13620,7442,15132,11390,5156,9662,14566,11282,12328,15434,335982
d__Bacteria;k__unclassified_d__Bacteria;p__Cyanobacteria,26462,30586,75544,33598,31116,30052,24668,25786,26532,28718,63878,32264,29310,27220,21390,46154,33950,68152,25466,68680,24348,29402,56900,121928,28550,44834,21732,103908,335962,27314,44134,1588538
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Atribacteria,238,200,10,336,266,344,224,330,278,192,398,228,216,280,196,154,242,190,404,92,168,162,114,264,276,46,220,340,116,298,306,7128
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Shapirobacteria,16,24,0,72,8,44,18,4,20,22,56,70,74,40,0,158,32,210,14,38,16,68,188,4,30,184,52,54,26,40,44,1626
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Gottesmanbacteria,584,664,150,388,688,474,210,502,182,804,176,784,426,686,70,244,790,144,574,420,288,302,126,442,616,96,442,444,308,474,1162,13660
d__Eukaryota;k__Fungi;p__Chytridiomycota,228,240,25506,188,518,110,186,346,310,180,2216,248,164,172,1818,2538,268,2740,142,16868,200,300,11330,10824,524,5676,92,20128,2864,120,290,107334
d__Eukaryota;k__Metazoa;p__Nemertea,0,4,740,0,0,0,0,0,0,0,202,0,0,0,30,60,0,154,0,506,0,0,458,306,0,350,0,608,158,0,2,3578
d__Bacteria;k__unclassified_d__Bacteria;p__Dictyoglomi,1310,1544,782,1762,1572,1258,1310,1348,1388,1454,1804,1772,1512,1612,252,992,2054,1662,1422,1126,1244,1454,1144,2092,1378,720,1030,1442,1058,1394,2410,43302
d__Eukaryota;k__Metazoa;p__Placozoa,118,96,9880,20,276,272,340,74,62,76,890,156,30,54,926,886,28,1250,92,6164,416,44,3010,3382,230,1836,64,9916,1038,226,52,41904
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Uhrbacteria,3672,2840,1058,4086,3560,8604,2552,3084,2986,2580,990,5514,3788,4130,608,3720,3076,826,2904,1566,2480,5394,914,2442,3446,510,4056,1178,1070,6592,4376,94602
d__Bacteria;k__unclassified_d__Bacteria;p__Verrucomicrobia,315012,534598,52550,437598,417338,313228,203212,291318,386924,280832,58896,588082,367834,396928,13052,90710,1063778,50848,144416,70640,230074,481106,73688,78016,392464,54642,118516,68320,35368,292892,1132696,9035576
d__Eukaryota;k__Metazoa;p__Porifera,324,298,10868,384,740,380,442,348,432,238,1268,348,346,288,1284,1246,1298,1468,130,7238,470,456,5928,5288,708,3236,130,7282,1716,472,1162,56216
d__Archaea;k__unclassified_d__Archaea;p__Thaumarchaeota,622,464,1164,626,1104,616,810,656,822,320,976,568,596,504,216,522,494,838,944,1036,740,772,942,1254,1094,980,698,4114,626,558,658,26334
